Week,Radiohead,New York Stock Exchange,National debt of the United States,NASDAQ,Mass Murder
12/2/2012,9,11,12,11,1
12/9/2012,10,11,8,11,12
12/16/2012,9,19,6,11,24
12/23/2012,9,18,6,8,5
12/30/2012,9,19,13,11,3
1/6/2013,10,12,10,12,4
1/13/2013,9,14,11,12,4
1/20/2013,9,14,10,12,3
1/27/2013,10,13,8,13,2
2/3/2013,9,12,7,14,2
2/10/2013,9,14,8,12,2
2/17/2013,10,13,7,12,2
2/24/2013,9,12,10,12,2
3/3/2013,9,13,8,13,2
3/10/2013,8,13,7,12,2
3/17/2013,10,13,7,12,2
3/24/2013,9,15,6,11,2
3/31/2013,8,11,7,12,2
4/7/2013,9,12,7,12,2
4/14/2013,9,12,7,12,3
4/21/2013,9,11,7,13,3
4/28/2013,9,12,8,13,2
5/5/2013,8,12,6,13,2
5/12/2013,8,11,7,13,2
5/19/2013,8,12,6,12,1
5/26/2013,9,10,5,11,1
6/2/2013,8,11,5,12,1
6/9/2013,7,10,4,12,1
6/16/2013,8,13,4,12,1
6/23/2013,8,13,4,11,1
6/30/2013,8,13,4,9,1
7/7/2013,8,10,4,12,1
7/14/2013,8,11,5,12,1
7/21/2013,8,11,5,12,2
7/28/2013,7,10,5,13,1
8/4/2013,7,10,4,12,1
8/11/2013,8,9,5,12,1
8/18/2013,8,11,4,30,1
8/25/2013,8,11,6,13,1
9/1/2013,7,10,5,10,1
9/8/2013,7,11,5,13,1
9/15/2013,8,11,8,13,3
9/22/2013,9,12,9,13,2
9/29/2013,8,13,19,14,1
10/6/2013,8,15,24,14,1
10/13/2013,8,15,30,14,1
10/20/2013,8,12,11,14,1
10/27/2013,9,12,9,14,2
11/3/2013,8,17,8,15,2
11/10/2013,8,15,7,14,1
11/17/2013,7,13,8,13,2
11/24/2013,8,14,5,12,1
12/1/2013,7,11,7,12,2
12/8/2013,7,11,7,14,1
12/15/2013,7,12,6,13,1
12/22/2013,7,16,3,11,1
12/29/2013,7,16,4,11,1
1/5/2014,7,12,5,14,1
1/12/2014,8,14,6,15,1
1/19/2014,7,14,5,14,1
1/26/2014,8,14,8,16,1
2/2/2014,8,13,7,15,1
2/9/2014,8,13,8,14,1
2/16/2014,8,13,7,13,2
2/23/2014,8,12,7,15,2
3/2/2014,7,12,6,15,2
3/9/2014,9,11,6,15,1
3/16/2014,7,11,6,14,2
3/23/2014,7,13,6,15,1
3/30/2014,7,13,6,16,2
4/6/2014,8,13,6,17,2
4/13/2014,9,14,5,14,2
4/20/2014,8,12,6,15,2
4/27/2014,7,11,6,14,2
5/4/2014,7,10,6,14,1
5/11/2014,9,10,5,13,1
5/18/2014,8,11,5,12,3
5/25/2014,7,10,4,11,9
6/1/2014,6,9,4,13,2
6/8/2014,7,10,4,13,2
6/15/2014,7,10,4,12,4
6/22/2014,7,10,3,13,2
6/29/2014,7,13,4,13,2
7/6/2014,7,9,5,13,2
7/13/2014,8,10,4,14,2
7/20/2014,7,10,4,13,2
7/27/2014,7,12,5,14,1
8/3/2014,8,10,5,12,2
8/10/2014,7,10,4,12,2
8/17/2014,7,10,4,13,2
8/24/2014,6,11,4,13,2
8/31/2014,7,11,5,11,2
9/7/2014,7,11,5,13,1
9/14/2014,7,17,5,15,2
9/21/2014,8,13,5,15,2
9/28/2014,8,13,5,15,2
10/5/2014,8,16,6,16,2
10/12/2014,7,16,6,18,2
10/19/2014,7,13,6,16,2
10/26/2014,7,13,7,16,2
11/2/2014,7,13,9,16,1
11/9/2014,6,14,7,15,1
11/16/2014,8,13,6,14,2
11/23/2014,7,15,5,12,2
11/30/2014,6,12,9,14,2
12/7/2014,7,12,8,14,2
12/14/2014,7,15,6,15,3
12/21/2014,7,17,4,13,1
12/28/2014,8,17,4,11,2
1/4/2015,7,15,6,15,2
1/11/2015,7,14,5,14,2
1/18/2015,6,15,10,13,2
1/25/2015,7,18,7,16,1
2/1/2015,6,14,7,15,1
2/8/2015,7,15,6,16,1
2/15/2015,6,14,6,14,3
2/22/2015,7,11,6,17,2
3/1/2015,7,12,5,19,1
3/8/2015,7,12,6,15,1
3/15/2015,7,12,6,15,2
3/22/2015,7,12,6,14,2
3/29/2015,7,16,5,14,2
4/5/2015,7,11,5,14,1
4/12/2015,8,12,7,15,2
4/19/2015,7,12,7,17,2
